id,property_code,date,occupancy,leased,projection,make_ready,work_orders,turnover
1.0,georget,2025-02-10,98.04,98.04,98.04,3.0,1.0,
2.0,georget,2025-02-17,98.03,99.01,98.03,1.0,2.0,
3.0,georget,2025-02-24,100.0,100.0,100.0,1.0,8.0,
4.0,georget,2025-03-03,100.0,100.0,100.0,0.0,5.0,
5.0,georget,2025-03-10,100.0,100.0,100.0,0.0,4.0,
6.0,georget,2025-03-17,100.0,100.0,100.0,1.0,4.0,
7.0,georget,2025-03-24,100.0,100.0,100.0,1.0,4.0,
8.0,georget,2025-03-31,100.0,100.0,100.0,2.0,4.0,
9.0,georget,2025-04-07,98.04,100.0,98.04,3.0,8.0,
10.0,georget,2025-04-14,100.0,100.0,100.0,3.0,5.0,
11.0,georget,2025-04-21,100.0,100.0,100.0,4.0,10.0,
12.0,georget,2025-04-28,100.0,100.0,100.0,5.0,11.0,
13.0,georget,2025-05-05,97.06,99.02,97.06,5.0,6.0,
14.0,georget,2025-05-12,99.02,100.0,99.02,5.0,5.0,
15.0,georget,2025-05-19,100.0,100.0,100.0,5.0,5.0,
16.0,georget,2025-05-26,100.0,100.0,100.0,5.0,6.0,
17.0,georget,2025-06-02,95.1,99.02,95.1,6.0,2.0,
18.0,georget,2025-06-09,94.12,99.02,94.12,6.0,6.0,
19.0,georget,2025-06-16,94.12,99.02,94.12,5.0,1.0,
20.0,georget,2025-06-23,98.04,100.0,98.04,3.0,9.0,
21.0,georget,2025-06-30,99.02,100.0,99.02,3.0,4.0,
22.0,georget,2025-07-07,98.04,100.0,98.04,3.0,9.0,
23.0,georget,2025-07-14,99.02,100.0,99.02,2.0,6.0,
24.0,georget,2025-07-21,98.04,99.02,98.04,4.0,6.0,
25.0,georget,2025-07-28,99.02,99.02,99.02,2.0,9.0,
26.0,georget,2025-08-04,97.06,98.04,97.06,3.0,4.0,
27.0,georget,2025-08-11,96.08,98.04,96.08,3.0,3.0,
28.0,georget,2025-08-18,96.08,98.04,96.08,2.0,0.0,
29.0,georget,2025-08-25,97.06,98.04,97.06,2.0,5.0,
30.0,georget,2025-09-01,99.02,100.0,99.02,2.0,5.0,
31.0,georget,2025-09-08,99.02,99.02,99.02,1.0,2.0,
32.0,georget,2025-09-15,99.02,99.02,99.02,2.0,0.0,
33.0,georget,2025-09-22,99.02,99.02,99.02,2.0,2.0,
34.0,georget,2025-09-29,99.02,99.02,99.02,2.0,3.0,
35.0,georget,2025-10-06,98.04,100.0,98.04,2.0,4.0,
36.0,georget,2025-10-13,99.02,99.02,99.02,3.0,5.0,
37.0,georget,2025-10-20,99.02,99.02,99.02,3.0,2.0,
38.0,georget,2025-10-27,99.02,100.0,99.02,3.0,1.0,
39.0,georget,2025-11-03,99.02,100.0,99.02,4.0,2.0,
40.0,georget,2025-11-10,99.02,99.02,99.02,2.0,4.0,
41.0,georget,2025-11-17,99.02,99.02,99.02,3.0,5.0,
42.0,georget,2025-11-24,99.02,99.02,99.02,2.0,3.0,
43.0,georget,2025-12-01,99.02,99.02,99.02,3.0,5.0,
44.0,georget,2025-12-08,98.04,99.02,98.04,4.0,5.0,
45.0,georget,2025-12-15,98.04,98.04,98.04,4.0,4.0,
